          , InnenN, InnenS, Nippes1, Niehl, Nippes2, Ehrenfeld, Braunsfeld,  Sulz, Lindent, Bayent, Marienb, Deutz,  Kalk, Mullheim, Ossendorf, Rodenk, Junkersdorf
InnenN    ,   11.5,   11.5,    12.5,  15.5,      14,      12.5,         14,  13.5,    15.5,     14,    15.5,    14,    18,     22.5,      19.5,   19.5,        19.5 
InnenS    ,       ,   11.5,    13.5,    17,    15.5,        14,       14.5,  12.5,      15,   13.5,      15,    14,    18,       23,      19.5,   19.5,        19.5 
Nippes1   ,       ,       ,      14,    14,      14,      15.5,         17,  15.5,      18,     18,    20.5,    17,  20.5,     22.5,      20.5,   19.5,        22.5 
Niehl     ,       ,       ,        ,    15,      15,        17,       19.5,    18,    19.5,     20,    22.5,  19.5,  22.5,     22.5,      20.5,   19.5,          25 
Nippes2   ,       ,       ,        ,      ,      15,        17,       18.5,  19.5,      20,   20.5,      21,  18.5,    23,       23,      20.5,   19.5,        24.5 
Ehrenfeld ,       ,       ,        ,      ,        ,        14,         14,    15,    15.5,   17.5,      18,  18.5,    23,     23.5,      19.5,   19.5,          23 
Braunsfeld,       ,       ,        ,      ,        ,          ,         15,  15.5,      17,     18,    18.5,  20.5,  23.5,       25,      19.5,   19.5,          24 
Sulz      ,       ,       ,        ,      ,        ,          ,           ,    15,      15,     15,      18,    18,  22.5,     24.5,      22.5,   19.5,        20.5 
Lindent   ,       ,       ,        ,      ,        ,          ,           ,      ,      15,     15,      18,  20.5,    23,       25,        23,   19.5,          21 
Bayent    ,       ,       ,        ,      ,        ,          ,           ,      ,        ,     14,    14.5,  19.5,  22.5,       24,      23.5,   19.5,          21 
Marienb   ,       ,       ,        ,      ,        ,          ,           ,      ,        ,       ,      17,  20.5,  23.5,       25,      24.5,   19.5,        22.5 
Deutz     ,       ,       ,        ,      ,        ,          ,           ,      ,        ,       ,        ,  14.5,    18,     20.5,        23,   19.5,        22.5 
Kalk      ,       ,       ,        ,      ,        ,          ,           ,      ,        ,       ,        ,      ,    19,     20.5,        25,   19.5,          24 
Mullheim  ,       ,       ,        ,      ,        ,          ,           ,      ,        ,       ,        ,      ,      ,     20.5,      24.5,   19.5,          26 
Ossend    ,       ,       ,        ,      ,        ,          ,           ,      ,        ,       ,        ,      ,      ,         ,        20,   19.5,          26 
Rodenk    ,       ,       ,        ,      ,        ,          ,           ,      ,        ,       ,        ,      ,      ,         ,          ,   19.5,        23.5 
Junkersd  ,       ,       ,        ,      ,        ,          ,           ,      ,        ,       ,        ,      ,      ,         ,          ,       ,        23.5 
